,heartRate,thermal,user_id
2019-02-12 20:24:42.836000+08:00,,10,Raring Ringtail
2019-02-12 20:24:42.840000+08:00,,10,Raring Ringtail
2019-02-12 20:24:42.851000064+08:00,,9,Raring Ringtail
2019-02-12 20:24:42.855000064+08:00,,9,Raring Ringtail
2019-02-12 20:24:42.862999808+08:00,,9,Raring Ringtail
2019-02-12 20:24:43.296999936+08:00,,10,Raring Ringtail
2019-02-12 20:24:43.301000192+08:00,,9,Raring Ringtail
2019-02-12 23:44:52.339000064+08:00,,10,Raring Ringtail
2019-02-12 23:44:52.776999936+08:00,,10,Raring Ringtail
2019-02-12 23:44:59.224999936+08:00,,10,Raring Ringtail
2019-02-12 23:44:59.279000064+08:00,,10,Raring Ringtail
2019-02-12 23:44:59.588000+08:00,,10,Raring Ringtail
2019-02-18 02:44:20.877000192+08:00,,10,Raring Ringtail
2019-02-18 02:44:21.676999936+08:00,,9,Raring Ringtail
2019-02-18 02:44:25.947000064+08:00,,10,Raring Ringtail
2019-02-18 02:44:25.977999872+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.201999872+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.257999872+08:00,,11,Raring Ringtail
2019-02-18 02:44:26.488000+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.584999936+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.744999936+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.845999872+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.892999936+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.948999936+08:00,,10,Raring Ringtail
2019-02-18 02:44:26.999000064+08:00,,10,Raring Ringtail
2019-02-18 02:44:27.099000064+08:00,,10,Raring Ringtail
2019-02-18 02:44:32.496999936+08:00,,9,Raring Ringtail
2019-02-18 02:44:32.507000064+08:00,,10,Raring Ringtail
2019-02-18 02:44:32.519000064+08:00,,10,Raring Ringtail
2019-02-18 02:44:32.528000+08:00,,9,Raring Ringtail
2019-02-18 02:44:32.976000+08:00,,10,Raring Ringtail
2019-02-18 02:44:32.991000064+08:00,,10,Raring Ringtail
2019-02-18 02:49:11.482000128+08:00,,10,Raring Ringtail
2019-02-18 02:49:12.617000192+08:00,,10,Raring Ringtail
2019-02-18 02:50:08.538000128+08:00,,11,Raring Ringtail
2019-02-18 02:50:09.558000128+08:00,,11,Raring Ringtail
2019-02-18 03:23:21.341000192+08:00,,9,Raring Ringtail
2019-02-18 03:23:38.724999936+08:00,,9,Raring Ringtail
2019-02-18 03:25:01.604999936+08:00,,10,Raring Ringtail
2019-02-18 03:25:02.864000+08:00,,9,Raring Ringtail
2019-02-18 03:25:39.763000064+08:00,,11,Raring Ringtail
2019-02-18 03:25:40.825999872+08:00,,11,Raring Ringtail
2019-03-25 02:53:43.127000064+08:00,67.0,11,Raring Ringtail
2019-03-25 02:53:44.632999936+08:00,67.0,11,Raring Ringtail
2019-03-25 02:53:45.869999872+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:10.420999936+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:10.828000+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:11.176000+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:11.453000192+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:11.868000+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:12.150000128+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:12.970000128+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:13.351000064+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:13.688000+08:00,67.0,11,Raring Ringtail
2019-03-25 02:54:43.655000064+08:00,70.0,11,Raring Ringtail
2019-03-25 02:54:44.862999808+08:00,70.0,10,Raring Ringtail
2019-03-25 02:54:45.964999936+08:00,70.0,10,Raring Ringtail
2019-03-25 02:55:10.332999936+08:00,70.0,10,Raring Ringtail
2019-03-25 02:55:11.266000128+08:00,70.0,10,Raring Ringtail
2019-03-25 02:55:12.180000+08:00,70.0,10,Raring Ringtail
2019-02-22 11:26:22.013999872+08:00,,10,Saucy Salamander
2019-02-22 11:52:03.208000+08:00,,10,Saucy Salamander
2019-03-27 14:45:47.120000+08:00,74.0,10,Saucy Salamander
2019-03-27 14:46:08.467000064+08:00,73.0,10,Saucy Salamander
2019-03-27 15:04:56.855000064+08:00,69.0,10,Saucy Salamander
2019-03-27 17:04:58.168000+08:00,79.0,10,Saucy Salamander
2019-03-28 10:08:38.342999808+08:00,79.0,10,Saucy Salamander
2019-03-28 11:21:19.921999872+08:00,94.0,10,Saucy Salamander
2019-03-28 13:05:01.915000064+08:00,90.0,10,Saucy Salamander
2019-03-28 15:04:57.832999936+08:00,78.0,10,Saucy Salamander
2019-03-28 17:05:16.463000064+08:00,71.0,10,Saucy Salamander
2019-04-07 13:23:05.996000+08:00,91.0,10,Saucy Salamander
2019-04-07 15:03:05.114000128+08:00,96.0,10,Saucy Salamander
2019-04-07 15:56:32.692000+08:00,100.0,10,Saucy Salamander
2019-04-07 17:16:36.820000+08:00,87.0,10,Saucy Salamander
2019-04-07 18:34:46.806999808+08:00,84.0,10,Saucy Salamander
2019-04-08 09:35:20.712000+08:00,79.0,10,Saucy Salamander
2019-04-08 11:00:08.249000192+08:00,85.0,10,Saucy Salamander
2019-04-08 13:00:08.139000064+08:00,107.0,10,Saucy Salamander
2019-04-08 15:00:59.296999936+08:00,90.0,10,Saucy Salamander
2019-04-08 17:01:00.268000+08:00,67.0,10,Saucy Salamander
2019-04-09 09:15:27.604000+08:00,83.0,10,Saucy Salamander
2019-04-09 11:28:53.708000+08:00,113.0,10,Saucy Salamander
2019-04-09 13:31:31.377000192+08:00,79.0,10,Saucy Salamander
